Date,TQQQ,SQQQ,SPY,UVXY,SPXL,BSV,TECL
2013-10-04,1.905643105506897,30947.92578125,143.57000732421875,3595000.0,11.414732933044434,69.36631774902344,1.6353477239608765
2013-10-07,1.8584691286087036,31700.880859375,142.32887268066406,4131000.0,11.12584400177002,69.38362884521484,1.6076174974441528
2013-10-08,1.753315806388855,33483.3828125,140.67120361328125,4514000.0,10.731258392333984,69.33182525634766,1.5295802354812622
2013-10-09,1.7339893579483032,33867.5390625,140.7732391357422,4210000.0,10.759442329406738,69.35770416259766,1.5526477098464966
2013-10-10,1.8441303968429565,31716.24609375,143.80804443359375,3378000.0,11.457011222839355,69.36631774902344,1.6274949312210083
2013-10-11,1.8856931924819946,30978.65625,144.73460388183594,3246000.0,11.677790641784668,69.37500762939453,1.665777325630188
2013-10-14,1.924761176109314,30287.16796875,145.3126983642578,3312000.0,11.82575798034668,69.34905242919922,1.689581274986267
2013-10-15,1.9041876792907715,30655.96484375,144.2585906982422,3718000.0,11.55330753326416,69.33182525634766,1.659887433052063
2013-10-16,1.969233751296997,29595.681640625,146.27330017089844,2887000.0,12.041837692260742,69.4009017944336,1.7043050527572632
2013-10-17,2.0010292530059814,29119.32421875,147.2508087158203,2571000.0,12.288454055786133,69.53047180175781,1.705286979675293
2013-10-18,2.099947214126587,27705.61328125,148.2454376220703,2506000.0,12.513931274414062,69.51319885253906,1.7914224863052368
2013-10-21,2.112001419067383,27536.587890625,148.25393676757812,2532000.0,12.539766311645508,69.50457000732422,1.8228336572647095
2013-10-22,2.119274377822876,27398.2890625,149.11251831054688,2554000.0,12.727662086486816,69.59956359863281,1.819152593612671
2013-10-23,2.085193395614624,27874.642578125,148.39842224121094,2580000.0,12.567951202392578,69.58234405517578,1.7931400537490845
2013-10-24,2.1111693382263184,27505.8515625,148.8914794921875,2505000.0,12.683037757873535,69.57368469238281,1.805655598640442
2013-10-25,2.153355598449707,26952.662109375,149.57154846191406,2494000.0,12.854494094848633,69.58234405517578,1.834367275238037
2013-10-28,2.157719612121582,26906.5625,149.80958557128906,2516000.0,12.922605514526367,69.55643463134766,1.8515456914901733
2013-10-29,2.1681106090545654,26783.630859375,150.608642578125,2485000.0,13.133988380432129,69.6082534790039,1.8856559991836548
2013-10-30,2.161252975463867,26875.830078125,149.86056518554688,2540000.0,12.92965316772461,69.6082534790039,1.8719136714935303
2013-10-31,2.1473288536071777,26998.76171875,149.43551635742188,2519000.0,12.791078567504883,69.58234405517578,1.8584167957305908
2013-11-01,2.1462905406951904,27014.126953125,149.79258728027344,2489000.0,12.908513069152832,69.54427337646484,1.8625884056091309
2013-11-04,2.1566803455352783,26891.197265625,150.31961059570312,2363000.0,13.042390823364258,69.58751678466797,1.8795207738876343
2013-11-05,2.1658246517181396,26768.265625,149.8435821533203,2342000.0,12.920256614685059,69.57022094726562,1.8655333518981934
2013-11-06,2.162083864212036,26814.361328125,150.608642578125,2272000.0,13.1034574508667,69.64806365966797,1.9182943105697632
2013-11-07,2.0421762466430664,28320.26953125,148.70448303222656,2435000.0,12.626667022705078,69.6653060913086,1.843937873840332
2013-11-08,2.122807025909424,27183.158203125,150.7106475830078,2228000.0,13.126944541931152,69.5529556274414,1.8959629535675049
2013-11-11,2.1126248836517334,27290.71875,150.73614501953125,2207000.0,13.117547035217285,69.56156158447266,1.8986624479293823
2013-11-12,2.1230146884918213,27167.791015625,150.43014526367188,2198000.0,13.051783561706543,69.50103759765625,1.9165763854980469
2013-11-13,2.1990737915039062,26122.876953125,151.63726806640625,2178000.0,13.354769706726074,69.58751678466797,1.9654111862182617
2013-11-14,2.2161154747009277,25984.578125,152.39381408691406,2130000.0,13.57554817199707,69.68264770507812,1.9484784603118896
2013-11-15,2.2314929962158203,25784.818359375,153.0569305419922,2083000.0,13.747002601623535,69.63077545166016,1.9676196575164795
